目的地,次数
雅加达CGK(索埃卡尔诺－哈塔国际机场),170
吉隆坡KUL(吉隆坡国际机场),169
巴厘岛DPS(努拉莱伊机场),138
多哈,124
雅加达,117
马尼拉MNL(尼诺伊－阿奎诺国际机场),100
洛杉矶LAX(洛杉矶国际机场),78
悉尼SYD(金斯福德－史密斯机场),68
新加坡SIN(樟宜机场,64
新加坡,56
台北,54
台北TPE(桃园机场),51
马尼拉,41
金边,39
台北松山TSA(台北松山机场),38
香港HKG(香港国际机场),34
曼谷,31
吉隆坡,30
SIN,28
阿姆斯特丹AMS(阿姆斯特丹－西佛尔机场),28
CGK,21
绵阳,21
墨尔本MEL(图拉马莱恩机场),20
济南TNA(遥墙国际机场),20
河内,19
SGN,19
多哈DOH(多哈机场),19
洛杉矶,18
胡志明SGN(胡志明市机场),15
香港,14
大阪,12
巴黎CDG(查尔斯－戴高乐机场),12
首尔ICN(首尔仁川国际机场),12
沙巴岛,11
KUL,11
悉尼,11
胡志明市,11
晋江JJN(晋江机场),10
澳门MFM(马库机场),10
HAN,9
槟城,9
名古屋,8
曼谷BKK(曼谷国际机场),8
济南,7
澳门,7
太原,6
首尔,6
金边PNH(金边国际机场),6
沙巴BKI(哥打基纳巴卢机场),6
MNL,5
HKG,5
ICN,4
BKK,4
墨尔本,4
天府,4
河内HAN(诺伊拜机场),4
温哥华YVR(温哥华国际机场),4
台湾松山,4
PEN,3
东京,3
松山机场,3
TPE,2
SYD,2
LAX,2
阿姆斯特丹,2
纽约,2
高雄,2
KTI,2
CSX,2
TFU,2
运城,2
无锡,2
KIX,2
万象,2
WUX,1
HIA,1
KWE,1
MEL,1
JJN,1
巴厘岛,1
SJW,1
巴黎,1
CDG,1
PNH,1
PKX,1
阿拉木图,1
NGO,1
哥打京那巴鲁,1
